,corp_name,se,thstrm,frmtrm,lwfr
0,디아이씨,주당액면가액(원),500,500,500
1,디아이씨,(연결)당기순이익(백만원),"4,736","29,487","-119,098"
2,디아이씨,(별도)당기순이익(백만원),"14,739","25,768","-108,756"
3,디아이씨,(연결)주당순이익(원),79,753,"-3,167"
4,디아이씨,현금배당금총액(백만원),-,-,-
5,디아이씨,주식배당금총액(백만원),-,-,-
6,디아이씨,(연결)현금배당성향(%),-,-,-
7,디아이씨,현금배당수익률(%),-,-,-
8,디아이씨,현금배당수익률(%),-,-,-
9,디아이씨,주식배당수익률(%),-,-,-
10,디아이씨,주식배당수익률(%),-,-,-
11,디아이씨,주당 현금배당금(원),-,-,-
12,디아이씨,주당 현금배당금(원),-,-,-
13,디아이씨,주당 주식배당(주),-,-,-
14,디아이씨,주당 주식배당(주),-,-,-
