,corp_name,se,thstrm,frmtrm,lwfr
0,우리기술투자,주당액면가액(원),500,500,500
1,우리기술투자,(연결)당기순이익(백만원),"-327,825","619,423","28,609"
2,우리기술투자,(별도)당기순이익(백만원),"-327,240","620,088","28,124"
3,우리기술투자,(연결)주당순이익(원),"-4,210","7,954",372
4,우리기술투자,현금배당금총액(백만원),-,-,-
5,우리기술투자,주식배당금총액(백만원),-,-,-
6,우리기술투자,(연결)현금배당성향(%),-,-,-
7,우리기술투자,현금배당수익률(%),-,-,-
8,우리기술투자,현금배당수익률(%),-,-,-
9,우리기술투자,주식배당수익률(%),-,-,-
10,우리기술투자,주식배당수익률(%),-,-,-
11,우리기술투자,주당 현금배당금(원),-,-,-
12,우리기술투자,주당 현금배당금(원),-,-,-
13,우리기술투자,주당 주식배당(주),-,-,-
14,우리기술투자,주당 주식배당(주),-,-,-
