,corp_name,se,thstrm,frmtrm,lwfr,stock_knd
0,영풍제지,주당액면가액(원),500,500,500,
1,영풍제지,(연결)당기순이익(백만원),"7,918","6,343","8,525",
2,영풍제지,(별도)당기순이익(백만원),"7,970","6,399","8,581",
3,영풍제지,(연결)주당순이익(원),451,362,483,
4,영풍제지,현금배당금총액(백만원),"13,746",703,703,
5,영풍제지,주식배당금총액(백만원),-,-,-,
6,영풍제지,(연결)현금배당성향(%),173.36,11.06,8.23,
7,영풍제지,현금배당수익률(%),6.48,0.55,0.56,보통주
8,영풍제지,현금배당수익률(%),-,-,-,우선주
9,영풍제지,주식배당수익률(%),-,-,-,보통주
10,영풍제지,주식배당수익률(%),-,-,-,우선주
11,영풍제지,주당 현금배당금(원),779,40,40,보통주
12,영풍제지,주당 현금배당금(원),-,-,-,우선주
13,영풍제지,주당 주식배당(주),-,-,-,보통주
14,영풍제지,주당 주식배당(주),-,-,-,우선주
