,corp_name,se,thstrm,frmtrm,lwfr,stock_knd
0,대성산업,주당액면가액(원),"5,000","5,000","5,000",
1,대성산업,(연결)당기순이익(백만원),"-11,884","-10,263","48,474",
2,대성산업,(별도)당기순이익(백만원),"20,026","7,460","31,858",
3,대성산업,(연결)주당순이익(원),-321,-286,"1,414",
4,대성산업,현금배당금총액(백만원),-,-,-,
5,대성산업,주식배당금총액(백만원),-,-,-,
6,대성산업,(연결)현금배당성향(%),-,-,-,
7,대성산업,현금배당수익률(%),-,-,-,보통주
8,대성산업,현금배당수익률(%),-,-,-,우선주
9,대성산업,주식배당수익률(%),-,-,-,보통주
10,대성산업,주식배당수익률(%),-,-,-,우선주
11,대성산업,주당 현금배당금(원),-,-,-,보통주
12,대성산업,주당 현금배당금(원),-,-,-,우선주
13,대성산업,주당 주식배당(주),-,-,-,보통주
14,대성산업,주당 주식배당(주),-,-,-,우선주
