,corp_name,se,thstrm,frmtrm,lwfr,stock_knd
0,동양,주당액면가액(원),500,500,500,
1,동양,(연결)당기순이익(백만원),"-4,400","16,193","-23,489",
2,동양,(별도)당기순이익(백만원),"-20,897","9,553","-18,057",
3,동양,(연결)주당순이익(원),-23,81,-118,
4,동양,현금배당금총액(백만원),"7,814","8,024","8,024",
5,동양,주식배당금총액(백만원),-,-,-,
6,동양,(연결)현금배당성향(%),-,49.60,-,
7,동양,현금배당수익률(%),3.86,2.67,3.34,보통주
8,동양,주식배당수익률(%),-,-,-,4우선주식
9,동양,주당 현금배당금(원),40,40,40,보통주
10,동양,주당 현금배당금(원),90,90,90,우선주
11,동양,주당 현금배당금(원),150,150,150,2우선주식
12,동양,주당 현금배당금(원),150,150,150,3우선주식
13,동양,주당 현금배당금(원),150,150,150,4우선주식
14,동양,주당 주식배당(주),-,-,-,보통주
15,동양,주당 주식배당(주),-,-,-,우선주
16,동양,주당 주식배당(주),-,-,-,2우선주식
17,동양,주당 주식배당(주),-,-,-,3우선주식
18,동양,현금배당수익률(%),1.39,1.15,1.31,우선주
19,동양,주당 주식배당(주),-,-,-,4우선주식
20,동양,현금배당수익률(%),1.17,0.95,1.24,2우선주식
21,동양,현금배당수익률(%),-,0.47,0.51,3우선주식(주2)
22,동양,현금배당수익률(%),-,-,-,4우선주식(주2)
23,동양,주식배당수익률(%),-,-,-,보통주
24,동양,주식배당수익률(%),-,-,-,우선주
25,동양,주식배당수익률(%),-,-,-,2우선주식
26,동양,주식배당수익률(%),-,-,-,3우선주식
