,corp_name,se,thstrm,frmtrm,lwfr,stock_knd
0,현대바이오랜드,주당액면가액(원),500,500,500,
1,현대바이오랜드,(연결)당기순이익(백만원),"4,764","-11,686","-13,545",
2,현대바이오랜드,(별도)당기순이익(백만원),"11,679","-6,423","-11,813",
3,현대바이오랜드,(연결)주당순이익(원),318,-779,-903,
4,현대바이오랜드,현금배당금총액(백만원),"1,050","1,050","1,500",
5,현대바이오랜드,주식배당금총액(백만원),-,-,-,
6,현대바이오랜드,(연결)현금배당성향(%),22.00,-9.00,-11.10,
7,현대바이오랜드,현금배당수익률(%),0.50,0.40,0.40,보통주
8,현대바이오랜드,현금배당수익률(%),-,-,-,우선주
9,현대바이오랜드,주식배당수익률(%),-,-,-,보통주
10,현대바이오랜드,주식배당수익률(%),-,-,-,우선주
11,현대바이오랜드,주당 현금배당금(원),70,70,100,보통주
12,현대바이오랜드,주당 현금배당금(원),-,-,-,우선주
13,현대바이오랜드,주당 주식배당(주),-,-,-,보통주
14,현대바이오랜드,주당 주식배당(주),-,-,-,우선주
