,corp_name,se,thstrm,frmtrm,lwfr,stock_knd
0,한진칼,주당액면가액(원),"2,500","2,500","2,500",
1,한진칼,(연결)당기순이익(백만원),"683,804","17,234","-269,846",
2,한진칼,(별도)당기순이익(백만원),"379,176","-81,136","-3,415",
3,한진칼,(연결)주당순이익(원),"10,143",247,"-4,476",
4,한진칼,현금배당금총액(백만원),"11,419",-,-,
5,한진칼,주식배당금총액(백만원),-,-,-,
6,한진칼,(연결)현금배당성향(%),1.70,-,-,
7,한진칼,현금배당수익률(%),0.40,-,-,보통주
8,한진칼,현금배당수익률(%),0.60,-,-,우선주
9,한진칼,주식배당수익률(%),-,-,-,보통주
10,한진칼,주식배당수익률(%),-,-,-,우선주
11,한진칼,주당 현금배당금(원),170,-,-,보통주
12,한진칼,주당 현금배당금(원),195,-,-,우선주
13,한진칼,주당 주식배당(주),-,-,-,보통주
14,한진칼,주당 주식배당(주),-,-,-,우선주
