,corp_name,se,thstrm,frmtrm,lwfr,stock_knd
0,조광피혁,주당액면가액(원),"5,000","5,000","5,000",
1,조광피혁,(연결)당기순이익(백만원),-,-,-,
2,조광피혁,(별도)당기순이익(백만원),"6,061","11,204","19,654",
3,조광피혁,(연결)주당순이익(원),"1,706","3,153","5,532",
4,조광피혁,현금배당금총액(백만원),-,"1,066","1,066",
5,조광피혁,주식배당금총액(백만원),-,-,-,
6,조광피혁,(연결)현금배당성향(%),-,9.51,5.42,
7,조광피혁,현금배당수익률(%),-,0.53,0.53,보통주
8,조광피혁,현금배당수익률(%),-,-,-,
9,조광피혁,주식배당수익률(%),-,-,-,보통주
10,조광피혁,주식배당수익률(%),-,-,-,
11,조광피혁,주당 현금배당금(원),-,300,300,보통주
12,조광피혁,주당 현금배당금(원),-,-,-,
13,조광피혁,주당 주식배당(주),-,-,-,보통주
14,조광피혁,주당 주식배당(주),-,-,-,
