,corp_name,se,thstrm,frmtrm,lwfr,stock_knd
0,핸즈코퍼레이션,주당액면가액(원),500,500,500,
1,핸즈코퍼레이션,(연결)당기순이익(백만원),"-8,024","6,866","4,206",
2,핸즈코퍼레이션,(별도)당기순이익(백만원),"-1,306","10,246",-252,
3,핸즈코퍼레이션,(연결)주당순이익(원),-374,320,194,
4,핸즈코퍼레이션,현금배당금총액(백만원),240,"2,107",980,
5,핸즈코퍼레이션,주식배당금총액(백만원),-,-,-,
6,핸즈코퍼레이션,(연결)현금배당성향(%),-2.99,30.69,23.29,
7,핸즈코퍼레이션,현금배당수익률(%),-,1.90,1.60,보통주
8,핸즈코퍼레이션,현금배당수익률(%),2.00,-,-,상환전환우선주
9,핸즈코퍼레이션,주식배당수익률(%),-,-,-,보통주
10,핸즈코퍼레이션,주식배당수익률(%),-,-,-,상환전환우선주
11,핸즈코퍼레이션,주당 현금배당금(원),-,130,100,보통주
12,핸즈코퍼레이션,주당 현금배당금(원),163,-,-,상환전환우선주
13,핸즈코퍼레이션,주당 주식배당(주),-,-,-,보통주
14,핸즈코퍼레이션,주당 주식배당(주),-,-,-,상환전환우선주
