,corp_name,se,thstrm,frmtrm,lwfr
0,LS마린솔루션,주당액면가액(원),"1,000","1,000","1,000"
1,LS마린솔루션,(연결)당기순이익(백만원),-,-,-
2,LS마린솔루션,(별도)당기순이익(백만원),"1,197",486,"-4,286"
3,LS마린솔루션,(연결)주당순이익(원),58,24,-209
4,LS마린솔루션,현금배당금총액(백만원),617,617,617
5,LS마린솔루션,주식배당금총액(백만원),-,-,-
6,LS마린솔루션,(연결)현금배당성향(%),51.50,126.90,14.40
7,LS마린솔루션,현금배당수익률(%),0.60,0.70,0.90
8,LS마린솔루션,현금배당수익률(%),-,-,-
9,LS마린솔루션,주식배당수익률(%),-,-,-
10,LS마린솔루션,주식배당수익률(%),-,-,-
11,LS마린솔루션,주당 현금배당금(원),30,30,30
12,LS마린솔루션,주당 현금배당금(원),-,-,-
13,LS마린솔루션,주당 주식배당(주),-,-,-
14,LS마린솔루션,주당 주식배당(주),-,-,-
