,corp_name,se,thstrm,frmtrm,lwfr
0,대원화성,주당액면가액(원),500,500,500
1,대원화성,(연결)당기순이익(백만원),"-2,183","4,279","2,664"
2,대원화성,(별도)당기순이익(백만원),"-2,140","4,332","2,311"
3,대원화성,(연결)주당순이익(원),-53,104,65
4,대원화성,현금배당금총액(백만원),409,411,-
5,대원화성,주식배당금총액(백만원),-,-,-
6,대원화성,(연결)현금배당성향(%),-,-,-
7,대원화성,현금배당수익률(%),-,2.00,-
8,대원화성,현금배당수익률(%),-,-,-
9,대원화성,주식배당수익률(%),-,-,-
10,대원화성,주식배당수익률(%),-,-,-
11,대원화성,주당 현금배당금(원),10,10,-
12,대원화성,주당 현금배당금(원),-,-,-
13,대원화성,주당 주식배당(주),-,-,-
14,대원화성,주당 주식배당(주),-,-,-
15,대원화성,주당 주식배당(주),-,-,-
