,corp_name,se,thstrm,frmtrm,lwfr,stock_knd
0,남성,주당액면가액(원),500,500,500,
1,남성,(연결)당기순이익(백만원),"-16,174","-2,196","-3,576",
2,남성,(별도)당기순이익(백만원),"-16,025","-2,135","-3,506",
3,남성,(연결)주당순이익(원),-526,-74,-128,
4,남성,현금배당금총액(백만원),630,412,314,
5,남성,주식배당금총액(백만원),-,-,-,
6,남성,(연결)현금배당성향(%),-,-,-,
7,남성,현금배당수익률(%),0.85,0.84,1.32,보통주(소액주주)
8,남성,주당 주식배당(주),-,-,-,우선주
9,남성,현금배당수익률(%),-,-,-,보통주(최대주주)
10,남성,현금배당수익률(%),-,-,-,우선주
11,남성,주식배당수익률(%),-,-,-,보통주
12,남성,주식배당수익률(%),-,-,-,우선주
13,남성,주당 현금배당금(원),35,25,25,보통주(소액주주)
14,남성,주당 현금배당금(원),-,-,-,보통주(최대주주)
15,남성,주당 현금배당금(원),-,-,-,우선주
16,남성,주당 주식배당(주),-,-,-,보통주
