,corp_name,se,thstrm,frmtrm,lwfr,stock_knd
0,삼천리,주당액면가액(원),"5,000","5,000","5,000",
1,삼천리,(연결)당기순이익(백만원),"31,966","37,822","32,053",
2,삼천리,(별도)당기순이익(백만원),"33,598","33,824","24,361",
3,삼천리,(연결)주당순이익(원),"9,248","10,614","8,995",
4,삼천리,현금배당금총액(백만원),"10,272","10,690","10,690",
5,삼천리,주식배당금총액(백만원),-,-,-,
6,삼천리,(연결)현금배당성향(%),32.10,28.30,33.40,
7,삼천리,현금배당수익률(%),3.70,3.50,3.30,보통주
8,삼천리,현금배당수익률(%),-,-,-,우선주
9,삼천리,주식배당수익률(%),-,-,-,보통주
10,삼천리,주식배당수익률(%),-,-,-,우선주
11,삼천리,주당 현금배당금(원),"3,000","3,000","3,000",보통주
12,삼천리,주당 현금배당금(원),-,-,-,우선주
13,삼천리,주당 주식배당(주),-,-,-,보통주
14,삼천리,주당 주식배당(주),-,-,-,우선주
