,corp_name,se,thstrm,frmtrm,lwfr
0,LG헬로비전,주당액면가액(원),"2,500","2,500","2,500"
1,LG헬로비전,(연결)당기순이익(백만원),"-312,794","-94,231","39,691"
2,LG헬로비전,(별도)당기순이익(백만원),"-311,858","-95,166","39,813"
3,LG헬로비전,(연결)주당순이익(원),"-4,039","-1,217",512
4,LG헬로비전,현금배당금총액(백만원),"5,809","5,809","5,809"
5,LG헬로비전,주식배당금총액(백만원),-,-,-
6,LG헬로비전,(연결)현금배당성향(%),-,-,14.60
7,LG헬로비전,현금배당수익률(%),1.90,1.20,0.80
8,LG헬로비전,현금배당수익률(%),-,-,-
9,LG헬로비전,주식배당수익률(%),-,-,-
10,LG헬로비전,주식배당수익률(%),-,-,-
11,LG헬로비전,주당 현금배당금(원),75,75,75
12,LG헬로비전,주당 현금배당금(원),-,-,-
13,LG헬로비전,주당 주식배당(주),-,-,-
14,LG헬로비전,주당 주식배당(주),-,-,-
