,rcept_no,corp_cls,corp_code,corp_name,stock_knd,nm,relate,bsis_posesn_stock_co,bsis_posesn_stock_qota_rt,trmend_posesn_stock_co,trmend_posesn_stock_qota_rt,rm
0,20210311001204,Y,00110893,대신증권,보통주,양홍석,본인,"3,976,804",7.83,"4,610,498",9.08,*시장매입 이연성과급
1,20210311001204,Y,00110893,대신증권,보통주,안경환,특수관계인,"6,886",0.01,"6,886",0.01,-
2,20210311001204,Y,00110893,대신증권,보통주,오익근,특수관계인,0,0.00,"13,788",0.03,*이연성과급
3,20210311001204,Y,00110893,대신증권,보통주,"대신송촌
문화재단",특수관계인,"665,696",1.31,"665,696",1.31,-
4,20210311001204,Y,00110893,대신증권,우선주,"대신송촌
문화재단",특수관계인,"1,384,624",3.85,"1,384,624",3.85,-
5,20210311001204,Y,00110893,대신증권,우선주,양홍석,본인,130,0.00,130,0.00,-
6,20210311001204,Y,00110893,대신증권,보통주,이어룡,특수관계인,"1,047,899",2.06,"1,105,633",2.18,*이연성과급
7,20210311001204,Y,00110893,대신증권,보통주,양정연,특수관계인,"543,190",1.07,"621,453",1.22,*시장매입
8,20210311001204,Y,00110893,대신증권,보통주,양승주,특수관계인,0,0.00,"40,000",0.08,*시장매입
9,20210311001204,Y,00110893,대신증권,보통주,양회금,특수관계인,"2,072",0.00,"2,072",0.00,-
10,20210311001204,Y,00110893,대신증권,우선주,양회금,특수관계인,"2,245",0.01,"2,245",0.01,-
11,20210311001204,Y,00110893,대신증권,보통주,노정남,특수관계인,"40,737",0.08,"40,737",0.08,-
12,20210311001204,Y,00110893,대신증권,우선주,노정남,특수관계인,"1,733",0.00,"1,733",0.00,-
13,20210311001204,Y,00110893,대신증권,보통주,계,,"6,283,284",12.38,"7,106,763",14.00,-
14,20210311001204,Y,00110893,대신증권,우선주,계,,"1,388,732",3.86,"1,388,732",3.86,-
