,rcept_no,corp_cls,corp_code,corp_name,stock_knd,nm,relate,bsis_posesn_stock_co,bsis_posesn_stock_qota_rt,trmend_posesn_stock_co,trmend_posesn_stock_qota_rt,rm
0,20210419000082,K,00171265,파라다이스,보통주,(주)파라다이스글로벌,본인,"34,420,619",37.85,"34,767,536",38.23,장내 매수
1,20210419000082,K,00171265,파라다이스,보통주,전성결,특수관계인,"28,000",0.03,0,0.00,장내 매도
2,20210419000082,K,00171265,파라다이스,보통주,박병룡,발행회사임원,"40,000",0.04,"40,000",0.04,-
3,20210419000082,K,00171265,파라다이스,보통주,최창석,계열사임원,"2,770",0.01,"2,770",0.01,-
4,20210419000082,K,00171265,파라다이스,보통주,최성욱,계열사임원,"5,000",0.01,0,0.00,등기임원 제외
5,20210419000082,K,00171265,파라다이스,보통주,학교법인 계원학원,"계열비영리
법인","3,720,000",4.09,"3,720,000",4.09,-
6,20210419000082,K,00171265,파라다이스,보통주,파라다이스복지재단,"계열비영리
법인","927,002",1.02,"927,002",1.02,-
7,20210419000082,K,00171265,파라다이스,보통주,전지혜,특수관계인,"1,725,264",1.90,"1,725,264",1.90,-
8,20210419000082,K,00171265,파라다이스,보통주,전원미,특수관계인,"259,467",0.29,"259,467",0.29,-
9,20210419000082,K,00171265,파라다이스,보통주,전필립,"본인의
최대주주","415,580",0.46,"415,580",0.46,-
10,20210419000082,K,00171265,파라다이스,보통주,김영율,특수관계인,"185,000",0.20,"185,000",0.20,-
11,20210419000082,K,00171265,파라다이스,보통주,김명옥,특수관계인,"135,000",0.15,"135,000",0.15,-
12,20210419000082,K,00171265,파라다이스,보통주,김재희,특수관계인,"57,330",0.06,0,0.00,장내 매도
13,20210419000082,K,00171265,파라다이스,보통주,계,,"41,921,032",46.10,"42,177,619",46.38,-
14,20210419000082,K,00171265,파라다이스,우선주,계,,-,-,-,-,-
